Station_Code,City,State,Latitude,Longitude
DAB4,Albany,NY,42.6511674,-73.754968
DAB5,New York,NY,40.7127281,-74.0060152
DAB8,New York,NY,40.7127281,-74.0060152
DAE1,Allentown,PA,40.6022059,-75.4712794
DAE3,Scranton,PA,41.4086874,-75.6621294
DAE7,Pittsburgh,PA,40.4416941,-79.9900861
DAS7,Boston,MA,42.3554334,-71.060511
DAS8,Boston,MA,42.3554334,-71.060511
DAS9,Boston,MA,42.3554334,-71.060511
DAT9,Atlanta,GA,33.7489924,-84.3902644
DAU1,Austin,TX,30.2711286,-97.7436995
DAU2,Austin,TX,30.2711286,-97.7436995
DAU5,Austin,TX,30.2711286,-97.7436995
DAU7,Austin,TX,30.2711286,-97.7436995
DAX3,Los Angeles,CA,34.0536909,-118.242766
DAX5,Los Angeles,CA,34.0536909,-118.242766
DAX7,Los Angeles,CA,34.0536909,-118.242766
DAX8,Los Angeles,CA,34.0536909,-118.242766
DAZ2,Phoenix,AZ,33.4484367,-112.074141
DAZ4,Tucson,AZ,32.2228765,-110.9748477
DBA5,Washington,DC,38.8950368,-77.0365427
DBA7,Washington,DC,38.8950368,-77.0365427
DBA8,Washington,DC,38.8950368,-77.0365427
DBC3,Providence,RI,41.8239891,-71.4128343
DBK1,New York,NY,40.7127281,-74.0060152
DBK4,New York,NY,40.7127281,-74.0060152
DBK6,New York,NY,40.7127281,-74.0060152
DBL1,New York,NY,40.7127281,-74.0060152
DBL8,New York,NY,40.7127281,-74.0060152
DBM3,Mobile,AL,30.6867339,-88.0848929
DBM5,Birmingham,AL,33.5206824,-86.8024326
DBO6,Boston,MA,42.3554334,-71.060511
DBO7,Springfield,MA,42.1018764,-72.5886727
DBO9,Boston,MA,42.3554334,-71.060511
DBU1,Buffalo,NY,42.8867166,-78.8783922
DBU2,Syracuse,NY,43.0481221,-76.1474244
DBU3,New York,NY,40.7127281,-74.0060152
DBU7,Buffalo,NY,42.8867166,-78.8783922
DBU9,Albany,NY,42.6511674,-73.754968
DCB4,Boston,MA,42.3554334,-71.060511
DCB8,Providence,RI,41.8239891,-71.4128343
DCD6,Charlotte,NC,35.2272086,-80.8430827
DCH6,Chicago,IL,41.8755616,-87.6244212
DCH8,Chicago,IL,41.8755616,-87.6244212
DCK1,Modesto,CA,37.6390972,-120.9968782
DCK6,San Francisco,CA,37.7790262,-122.419906
DCL2,Canton,OH,40.7985464,-81.3749508
DCL3,Youngstown,OH,41.1035786,-80.6520161
DCL4,Cleveland,OH,41.4996574,-81.6936772
DCL5,Toledo,OH,41.6529143,-83.5378173
DCL7,Cleveland,OH,41.4996574,-81.6936772
DCL9,Cleveland,OH,41.4996574,-81.6936772
DCM2,Dayton,OH,39.7589478,-84.1916069
DCM3,Cleveland,OH,41.4996574,-81.6936772
DCM5,Columbus,OH,39.9622601,-83.0007065
DCM6,Columbus,OH,39.9622601,-83.0007065
DCN2,Columbus,OH,39.9622601,-83.0007065
DCS3,Colorado Springs,CO,38.8339578,-104.825348
DCW8,Bakersfield,CA,35.3738712,-119.0194639
DCX2,Los Angeles,CA,34.7465071,-92.2896267
DCX5,San Francisco,CA,37.7790262,-122.419906
DCX7,Los Angeles,CA,34.0536909,-118.242766
DCX8,Los Angeles,CA,33.7489924,-84.3902644
DCY1,Hartford,CT,41.764582,-72.6908547
DCY9,New York,NY,40.7127281,-74.0060152
DDA9,Dallas,TX,32.7762719,-96.7968559
DDC3,Washington,DC,38.8950368,-77.0365427
DDC4,Washington,DC,38.8950368,-77.0365427
DDC9,Washington,DC,38.8950368,-77.0365427
DDE8,Fort Collins,CO,40.5508527,-105.0668085
DDE9,Denver,CO,39.7392364,-104.984862
DDF1,Dallas,TX,32.7762719,-96.7968559
DDF2,Dallas,TX,32.7762719,-96.7968559
DDF4,Dallas,TX,32.7762719,-96.7968559
DDF5,Dallas,TX,32.7762719,-96.7968559
DDO6,Los Angeles,CA,34.0536909,-118.242766
DDP1,Philadelphia,PA,39.9527237,-75.1635262
DDP3,Philadelphia,PA,39.9527237,-75.1635262
DDP5,Philadelphia,PA,39.9527237,-75.1635262
DDP7,Philadelphia,PA,39.9527237,-75.1635262
DDP9,Philadelphia,PA,39.9527237,-75.1635262
DDT1,Detroit,MI,42.3315509,-83.0466403
DDT3,Detroit,MI,42.3315509,-83.0466403
DDT4,Lansing,MI,42.7337712,-84.5553805
DDT6,Detroit,MI,42.3315509,-83.0466403
DDT9,Detroit,MI,42.3315509,-83.0466403
DDV2,Denver,CO,39.7392364,-104.984862
DDV3,Denver,CO,39.7392364,-104.984862
DDV4,Colorado Springs,CO,38.8339578,-104.825348
DDV5,Denver,CO,39.7392364,-104.984862
DDW1,Washington,DC,38.8950368,-77.0365427
DDW7,Washington,DC,38.8950368,-77.0365427
DDX2,Dallas,TX,32.7762719,-96.7968559
DDX6,Dallas,TX,32.7762719,-96.7968559
DDX7,Dallas,TX,32.7762719,-96.7968559
DEB2,Hartford,CT,41.764582,-72.6908547
DEW5,New York,NY,40.7127281,-74.0060152
DFA5,San Francisco,CA,37.7790262,-122.419906
DFH1,Miami,FL,25.7741728,-80.19362
DFH3,Melbourne,FL,28.106471,-80.6371513
DFH7,Fort Pierce,FL,27.4467056,-80.3256056
DFL3,Gainesville,FL,29.6519684,-82.3249846
DFL4,Orlando,FL,28.5421109,-81.3790304
DFL5,Orlando,FL,28.5421109,-81.3790304
DFL7,Lakeland,FL,28.0394654,-81.9498042
DFL8,Orlando,FL,28.5421109,-81.3790304
DFM3,Sarasota,FL,27.3365805,-82.5308545
DFM4,Naples,FL,26.1421976,-81.7942944
DFM5,Sarasota,FL,27.3365805,-82.5308545
DFO2,San Francisco,CA,37.7790262,-122.419906
DFO3,San Francisco,CA,37.7790262,-122.419906
DFO9,San Francisco,CA,37.7790262,-122.419906
DFT4,Atlanta,GA,33.7489924,-84.3902644
DFX3,Los Angeles,CA,34.0536909,-118.242766
DFX4,Los Angeles,CA,34.0536909,-118.242766
DFX9,Los Angeles,CA,34.0536909,-118.242766
DGE4,Savannah,GA,32.0564572,-81.0951271
DGE7,Atlanta,GA,33.7489924,-84.3902644
DGE9,Atlanta,GA,33.7489924,-84.3902644
DGI3,Philadelphia,PA,39.9527237,-75.1635262
DGR3,Detroit,MI,42.3315509,-83.0466403
DGR6,Grand Rapids,MI,42.9632405,-85.6678639
DGR8,Grand Rapids,MI,42.9632405,-85.6678639
DGT2,Atlanta,GA,33.7489924,-84.3902644
DGT8,Atlanta,GA,33.7489924,-84.3902644
DHI2,Honolulu,HI,21.304547,-157.855676
DHO3,Houston,TX,29.7589382,-95.3676974
DHO7,Houston,TX,29.7589382,-95.3676974
DHO8,Houston,TX,29.7589382,-95.3676974
DHT1,Houston,TX,29.7589382,-95.3676974
DHT4,Houston,TX,29.7589382,-95.3676974
DHX1,Houston,TX,29.7589382,-95.3676974
DHX4,Houston,TX,29.7589382,-95.3676974
DIA3,Des Moines,IA,41.5910323,-93.6046655
DIA4,Cedar Rapids,IA,41.9758872,-91.6704053
DIA5,Des Moines,IA,41.5910323,-93.6046655
DIB5,San Diego,CA,32.7174202,-117.1627728
DIB6,Los Angeles,CA,34.0536909,-118.242766
DIB7,San Diego,CA,32.7174202,-117.1627728
DID2,Boise City,ID,43.6166163,-116.200886
DID3,Boise City,ID,43.6166163,-116.200886
DII3,Indianapolis,IN,39.7683331,-86.1583502
DII4,Chicago,IL,41.8755616,-87.6244212
DIL5,Chicago,IL,41.8755616,-87.6244212
DIL7,Chicago,IL,41.8755616,-87.6244212
DIN3,South Bend,IN,41.6833813,-86.2500066
DIN4,Indianapolis,IN,39.7683331,-86.1583502
DIN6,Fort Wayne,IN,41.0799898,-85.1386015
DIN8,Indianapolis,IN,39.7683331,-86.1583502
DJC5,Salinas,CA,36.6744117,-121.655037
DJE1,New York,NY,40.7127281,-74.0060152
DJE2,Philadelphia,PA,39.9527237,-75.1635262
DJE3,Philadelphia,PA,39.9527237,-75.1635262
DJE5,New York,NY,40.7127281,-74.0060152
DJE9,Philadelphia,PA,39.9527237,-75.1635262
DJR1,New York,NY,40.7127281,-74.0060152
DJR3,New York,NY,40.7127281,-74.0060152
DJR5,New York,NY,40.7127281,-74.0060152
DJT6,Los Angeles,CA,34.7465071,-92.2896267
DJW8,Los Angeles,CA,34.0536909,-118.242766
DJX2,Jacksonville,FL,30.3321838,-81.655651
DJX3,Jacksonville,FL,30.3321838,-81.655651
DJX4,Jacksonville,FL,30.3321838,-81.655651
DJZ2,New York,NY,40.7127281,-74.0060152
DJZ3,New York,NY,40.7127281,-74.0060152
DJZ4,New York,NY,40.7127281,-74.0060152
DJZ5,New York,NY,40.7127281,-74.0060152
DJZ6,New York,NY,40.7127281,-74.0060152
DJZ8,New York,NY,40.7127281,-74.0060152
DKC3,Columbia,SC,34.0007493,-81.0343313
DKO1,Boston,MA,42.3554334,-71.060511
DKO9,Boston,MA,42.3554334,-71.060511
DKS3,Kansas City,MO,39.100105,-94.5781416
DKY4,Cincinnati,OH,39.1014537,-84.5124602
DKY5,Lexington,KY,38.0464066,-84.4970393
DKY6,Louisville,KY,38.2542376,-85.759407
DKY8,Louisville,KY,38.2542376,-85.759407
DKY9,Cincinnati,OH,39.1014537,-84.5124602
DLB2,Baton Rouge,LA,30.4507936,-91.1391153
DLD1,Washington,DC,38.8950368,-77.0365427
DLD7,Washington,DC,38.8950368,-77.0365427
DLF1,Fort Myers,FL,26.640628,-81.8723084
DLI3,Kansas City,MO,39.100105,-94.5781416
DLI4,St. Louis,MO,38.6319657,-90.2428756
DLI5,St. Louis,MO,38.6319657,-90.2428756
DLI6,St. Louis,MO,38.6319657,-90.2428756
DLI8,St. Louis,MO,38.6319657,-90.2428756
DLI9,St. Louis,MO,38.6319657,-90.2428756
DLN2,Chicago,IL,41.8755616,-87.6244212
DLN3,Chicago,IL,41.8755616,-87.6244212
DLN4,Chicago,IL,41.8755616,-87.6244212
DLN8,Chicago,IL,41.8755616,-87.6244212
DLR2,Little Rock,AR,34.7465071,-92.2896267
DLT2,Greensboro,NC,36.0726355,-79.7919754
DLT3,Charlotte,NC,35.2272086,-80.8430827
DLT6,Greensboro,NC,36.0726355,-79.7919754
DLT7,Greensboro,NC,36.0726355,-79.7919754
DLT8,Charlotte,NC,35.2272086,-80.8430827
DLV2,Las Vegas,NV,36.1672559,-115.148516
DLV3,Reno,NV,39.5261206,-119.8126581
DLV4,Las Vegas,NV,36.1672559,-115.148516
DLV7,Las Vegas,NV,36.1672559,-115.148516
DLX1,Los Angeles,CA,34.0536909,-118.242766
DLX5,Los Angeles,CA,34.0536909,-118.242766
DLX7,Los Angeles,CA,33.7489924,-84.3902644
DLX8,Los Angeles,CA,34.7465071,-92.2896267
DLX9,Los Angeles,CA,34.0536909,-118.242766
DMC3,Kansas City,MO,39.100105,-94.5781416
DMC4,Kansas City,MO,39.100105,-94.5781416
DMD2,Washington,DC,38.8950368,-77.0365427
DMD4,Washington,DC,38.8950368,-77.0365427
DMD5,Washington,DC,38.8950368,-77.0365427
DMD6,Washington,DC,38.8950368,-77.0365427
DMD8,Washington,DC,38.8950368,-77.0365427
DMD9,Washington,DC,38.8950368,-77.0365427
DMF1,Miami,FL,25.7741728,-80.19362
DMF3,Miami,FL,25.7741728,-80.19362
DMF5,Miami,FL,25.7741728,-80.19362
DMF8,Tampa,FL,27.9477595,-82.458444
DMH4,Boston,MA,42.3554334,-71.060511
DMH9,Boston,MA,42.3554334,-71.060511
DMI7,West Palm Beach,FL,26.715364,-80.0532942
DMI9,Miami,FL,25.7741728,-80.19362
DML3,Appleton,WI,44.2613967,-88.4069744
DML4,Chicago,IL,41.8755616,-87.6244212
DML6,Milwaukee,WI,43.0349931,-87.922497
DML8,Milwaukee,WI,43.0349931,-87.922497
DMO3,Orlando,FL,28.5421109,-81.3790304
DMO4,Daytona Beach,FL,29.2108147,-81.0228331
DMO6,West Palm Beach,FL,26.715364,-80.0532942
DMP1,Minneapolis,MN,44.9772995,-93.2654692
DMS2,Minneapolis,MN,44.9772995,-93.2654692
DMS6,Minneapolis,MN,44.9772995,-93.2654692
DNA4,Memphis,TN,35.1335022,-89.9668758
DNA6,Knoxville,TN,35.9603948,-83.9210261
DNH2,Boston,MA,42.3554334,-71.060511
DNJ2,New York,NY,40.7127281,-74.0060152
DNJ4,New York,NY,40.7127281,-74.0060152
DNJ7,New York,NY,40.7127281,-74.0060152
DNK2,New York,NY,40.7127281,-74.0060152
DNK5,New York,NY,40.7127281,-74.0060152
DNK7,New York,NY,40.7127281,-74.0060152
DNO2,New Orleans,LA,29.9759983,-90.0782127
