station_code,msa,region,Daily COH,Network COH
DPS5,Los Angeles-Riverside-Orange County CA,Fresno,46,0.1132
DNO3,,Bayou Belt,39.75,1.00E-04
DNA6,Knoxville TN MSA,Sun Belt,38.58,0.1377
DHI2,Honolulu HI MSA,Orange County,28.33,0.0783
DYR3,New York-Northern New Jersey-Long Island NY-NJ-CT-PA,Long Island,14.42,0.0167
DBM3,Mobile AL MSA,Tennessee,12.17,0.0126
DML3,Appleton-Oshkosh-Neenah WI MSA,Wisconsin,9.42,0.0315
DLT6,Greensboro--Winston-Salem--High Point NC MSA,Tarheel,9,0.018
DTP7,Tampa-St. Petersburg-Clearwater FL MSA,Central Florida,8.92,0.0359
DMO4,Daytona Beach FL MSA,Disney,8.5,0.0203
DTP9,Tampa-St. Petersburg-Clearwater FL MSA,Central Florida,8.5,0.0252
DAS9,Boston-Worcester-Lawrence MA-NH-ME-CT CMSA,South Shore,8,0.0254
DSC4,Charleston-North Charleston SC MSA,Northern FL,7.75,0.0279
DJX2,Jacksonville FL MSA,Northern FL,7.67,0.0156
DIN6,Fort Wayne IN MSA,Windlake,7.5,0.0218
DCM3,Cleveland-Akron OH CMSA,Cleveland-Pitt,7.42,0.0283
DJT6,Los Angeles-Riverside-Orange County CA,Inland Empire,7.25,0.0428
DLR2,Little Rock-North Little Rock AR MSA,St. Louis,7.17,0.0189
DOK6,Tulsa OK MSA,Ozark,7.08,0.0152
DRT4,Greenville-Spartanburg-Anderson SC MSA,Sun Belt,7,0.0198
DTP3,Tampa-St. Petersburg-Clearwater FL MSA,Gulf Coast,6.83,0.0227
DMF8,Tampa-St. Petersburg-Clearwater FL MSA,Gulf Coast,6.58,0.0138
DJX4,Jacksonville FL MSA,Northern FL,6,0.0225
DFL7,Lakeland-Winter Haven FL MSA,Central Florida,5.75,0.0215
DFX4,Los Angeles-Riverside-Orange County CA,Fresno,5.75,0.0101
DEB2,Hartford CT MSA,Hartford,5.67,0.0088
DFM5,Sarasota-Bradenton FL MSA,Gulf Coast,5.58,0.0245
DNO2,New Orleans LA MSA,Bayou Belt,5.33,0.0199
DFL4,Orlando FL MSA,Disney,5.08,0.0241
DNA4,Memphis TN-AR-MS MSA,Tennessee,5.08,0.0198
DFL5,Orlando FL MSA,Disney,5,0.0224
DDX7,Dallas-Fort Worth TX CMSA,DFW,5,0.0241
DAU7,Austin-San Marcos TX MSA,DFW,4.92,0.0215
DLI5,St. Louis MO-IL MSA,St. Louis,4.83,0.0081
DIA4,Cedar Rapids IA MSA,Wisconsin,4.83,0.0088
DBO7,Springfield MA MSA,Hartford,4.5,0.0089
